Ponce,18.0127,-66.6212,PR
Richardson,32.9716,-96.7093,TX
Sugar Land,29.5935,-95.6358,TX
Leominster,42.5209,-71.7717,MA
St. Cloud,45.534,-94.1718,MN
Duluth,46.7756,-92.1393,MN
Cambridge,42.3759,-71.1185,MA
Monroe,32.5185,-92.0774,LA
Independence,39.0871,-94.3501,MO
Rochester,44.0154,-92.478,MN
Rock Hill,34.9415,-81.0241,SC
Bloomington,39.1637,-86.5257,IN
Billings,45.7891,-108.5526,MT
Seaside,36.6224,-121.8199,CA
Clearwater,27.979,-82.7623,FL
Brandon,27.9367,-82.3,FL
Burlington,44.4876,-73.2316,VT
Pottstown,40.2508,-75.6445,PA
Waterloo,42.4918,-92.3522,IA
West Jordan,40.6024,-112.0008,UT
Coeur d'Alene,47.704,-116.7936,ID
Westminster,39.8837,-105.0624,CO
St. George,37.0758,-113.5752,UT
Gilroy,37.0046,-121.5854,CA
Carlsbad,33.1246,-117.2834,CA
El Monte,34.0739,-118.0291,CA
North Charleston,32.9067,-80.0722,SC
Chico,39.7578,-121.8161,CA
Temecula,33.4928,-117.1315,CA
Costa Mesa,33.6667,-117.9135,CA
Utica,43.0962,-75.2261,NY
Clovis,36.8278,-119.683,CA
Norman,35.2335,-97.3471,OK
Elgin,42.0383,-88.324,IL
Centennial,39.5926,-104.8673,CO
Lowell,42.6389,-71.3217,MA
Downey,33.9379,-118.1311,CA
Pompano Beach,26.2428,-80.1312,FL
West Palm Beach,26.7469,-80.132,FL
Abilene,32.4543,-99.7384,TX
Everett,47.9525,-122.1669,WA
Miami Gardens,25.9433,-80.2426,FL
Gresham,45.5021,-122.4413,OR
El Centro,32.7865,-115.5595,CA
Richmond,37.9477,-122.3389,CA
Inglewood,33.9566,-118.3444,CA
Salisbury,38.3756,-75.5865,MD
Broken Arrow,36.038,-95.7806,OK
San Buenaventura,34.2741,-119.2314,CA
Sandy Springs,33.9366,-84.3703,GA
Hillsboro,45.5273,-122.936,OR
Sioux City,42.4959,-96.3901,IA
Jacksonville,34.7289,-77.3941,NC
Meridian,43.6116,-116.3977,ID
Lewisville,33.0454,-96.9815,TX
Bend,44.0563,-121.3095,OR
Daly City,37.6862,-122.4685,CA
Highlands Ranch,39.5419,-104.9708,CO
Jurupa Valley,34.001,-117.4706,CA
Temple,31.1068,-97.3891,TX
Logan,41.7399,-111.8422,UT
Kailua,21.392,-157.7396,HI
West Covina,34.0555,-117.9113,CA
Davie,26.0789,-80.287,FL
Columbia,39.2004,-76.859,MD
League City,29.4874,-95.1087,TX
Mandeville,30.3751,-90.0904,LA
San Tan Valley,33.1786,-111.5629,AZ
Turlock,37.5053,-120.8588,CA
Norwalk,33.9069,-118.0829,CA
Allen,33.1088,-96.6735,TX
San Germán,18.0827,-67.046,PR
San Mateo,37.5522,-122.3121,CA
Rialto,34.1175,-117.3892,CA
Burbank,34.1879,-118.3235,CA
El Cajon,32.8017,-116.9604,CA
Eau Claire,44.8197,-91.4948,WI
Sparks,39.5736,-119.7161,NV
Charlottesville,38.0375,-78.4855,VA
Renton,47.4784,-122.1918,WA
Idaho Falls,43.4871,-112.0362,ID
Vista,33.1896,-117.2386,CA
Holland,42.7677,-86.0984,MI
Longmont,40.1686,-105.1005,CO
Wichita Falls,33.9072,-98.5291,TX
Lafayette,39.9946,-105.0998,CO
Vacaville,38.3587,-121.9673,CA
